Track id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
3AEZUABDXNtecAOSC1qT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6mICuAdrwEjh6Y6lroV2Kg,0.852,0.773,-2.9210000000000003,0.0776,0.187,3.05e-05,0.159,0.907
3QwBODjSEzelZyVjxPOHdq,0.8320000000000001,0.772,-5.428999999999999,0.1,0.0559,0.00048600000000000005,0.44,0.7040000000000001
7DM4BPaS7uofFul3ywMe46,0.6629999999999999,0.92,-4.07,0.226,0.0043100000000000005,1.6899999999999997e-05,0.10099999999999999,0.5329999999999999
6rQSrBHf7HlZjtcMZ4S4bO,0.508,0.687,-4.361000000000001,0.326,0.551,3.41e-06,0.126,0.555
0sXvAOmXgjR2QUqLK1MltU,0.736,0.9640000000000001,-2.147,0.129,0.198,2.32e-06,0.336,0.953
6stYbAJgTszHAHZMPxWWCY,0.7609999999999999,0.8290000000000001,-3.2030000000000003,0.0681,0.16699999999999998,0.0,0.18899999999999997,0.813
5mey7CLLuFToM2P68Qu1gF,0.68,0.9540000000000001,-1.8230000000000002,0.11900000000000001,0.0244,0.0,0.11199999999999999,0.521
5J1c3M4EldCfNxXwrwt8mT,0.7759999999999999,0.669,-4.933,0.0638,0.142,0.0,0.21899999999999997,0.6609999999999999
58IL315gMSTD37DOZPJ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4pdPtRcBmOSQDlJ3Fk945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3dQDid3IUNhZy1OehIfYfE,0.772,0.909,-3.225,0.166,0.256,0.0,0.255,0.6940000000000001
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.6609999999999999
20ZAJdsKB5IGbGj4ilRt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,-3.1830000000000003,0.0802,0.581,0.0,0.0931,0.9309999999999999
4aWmUDTfIPGksMNLV2rQP2,0.66,0.7859999999999999,-4.757,0.17,0.209,0.0,0.11199999999999999,0.846
3umS4y3uQDkqekNjVpiRU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6De0lHrwBfPfrhorm9q1Xl,0.7440000000000001,0.804,-6.327000000000001,0.0677,0.0231,0.0,0.0494,0.426
6Zosz8w6CmdGMZM6p4JlbQ,0.746,0.794,-6.331,0.0698,0.0258,0.0,0.0497,0.447
7nKBxz47S9SD79N086fu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4okba5wu9mMLXx79DXLKi3,0.685,0.8590000000000001,-2.595,0.0553,0.11599999999999999,0.0,0.317,0.8909999999999999
3eR23VReFzcdmS7TYCrhC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5q2JbCNi4FcnglgPfxcV65,0.639,0.8690000000000001,-4.024,0.147,0.27,0.0,0.0802,0.767
6qDF4wWL49CAVbgT7yuHl8,0.889,0.853,-4.26,0.24100000000000002,0.154,0.00010700000000000001,0.205,0.922
2cnKEkpVUSV4wnjQiTWfH6,0.747,0.8640000000000001,-3.181,0.0599,0.0245,4.46e-05,0.0853,0.754
5CtI0qwDJkDQGwXD1H1cLb,0.6940000000000001,0.815,-4.328,0.12,0.22899999999999998,0.0,0.0924,0.813
7lRsNbdOGykkMAgsqs4R1C,0.8170000000000001,0.8690000000000001,-4.791,0.18,0.163,0.0022600000000000003,0.0497,0.561
2Vdub5mY4lad7w64bFPUez,0.489,0.9620000000000001,-2.597,0.215,0.0277,6.18e-06,0.128,0.518
0qYTZCo5Bwh1nsUFGZP3z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209gZgcfLq2aUuu51vOWBl,0.792,0.8190000000000001,-5.417999999999999,0.0867,0.0309,0.0,0.389,0.433
22eADXu8DfOAUEDw4vU8q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7MHN1aCFtLXjownGhvEQlF,0.7879999999999999,0.47700000000000004,-7.348,0.0434,0.5489999999999999,0.0,0.349,0.86
4qknM1pQz53QOyfDVTjcM9,0.74,0.879,-2.251,0.105,0.193,8.25e-05,0.0928,0.948
2rb5MvYT7ZIxbKW5hfcHx8,0.5429999999999999,0.677,-4.915,0.0993,0.0148,6.21e-06,0.13,0.294
693iqPOQvhI7PobtR8CC8v,0.782,0.868,-1.715,0.04,0.0106,0.00252,0.29,0.884
4yN6xPLopmTLvc27pO9LIE,0.685,0.731,-5.119,0.09300000000000001,0.204,0.0,0.0722,0.7859999999999999
4z3GJkrtH97Bj6fRta983T,0.748,0.884,-3.556,0.0501,0.0902,0.0,0.361,0.6779999999999999
0H7cz1bR7w9PulJL7Na774,0.797,0.777,-5.499,0.0772,0.237,0.0,0.128,0.575
7JNh1cfm0eXjqFVOzKLyau,0.743,0.855,-3.9760000000000004,0.0436,0.141,0.0045,0.099,0.871
3VClLWqNn80Llv0PJOsKg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5TysCiZtv1HnSWcTcUFusI,0.688,0.8590000000000001,-4.447,0.0609,0.18600000000000003,0.0,0.121,0.695
7ofxPmTNMj2GP07g1VZa0O,0.7709999999999999,0.835,-3.388,0.0507,0.13,0.0,0.0601,0.8170000000000001
1m69ELEgE6k5ZWsap40oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2SmgFAhQkQCQPyBiBxR6T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7Ckhk1XW5NV2k4jpqtQNlz,0.767,0.705,-6.221,0.0521,0.342,0.0,0.25,0.52
70lnL3QaSOIIyMa2X9aVRL,0.75,0.76,-4.836,0.198,0.187,0.0,0.0548,0.893
33bnxcjePIkcmNjEFTJX0l,0.6809999999999999,0.7879999999999999,-4.323,0.0785,0.0482,0.0,0.0753,0.8390000000000001
5TmZYdHW6HJ9gt7Aokuql5,0.746,0.745,-3.3110000000000004,0.146,0.0474,1.71e-06,0.15,0.828
1YqcGlCHNquxBhlUZsjhMT,0.728,0.81,-5.2,0.0589,0.22399999999999998,1.1e-05,0.0952,0.784
6Za3190Sbw39BBC77WSS1C,0.8140000000000001,0.813,-3.023,0.0561,0.03,9.329999999999999e-05,0.255,0.8390000000000001
0JcNysfWVWaMS7R6vzGB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5hcisvFMidkMJlElTO9Qmw,0.807,0.6809999999999999,-6.268,0.0983,0.423,0.0,0.0962,0.6759999999999999
1zsG4eaZmkA1dvjDDsAGLK,0.7240000000000001,0.895,-3.617,0.0411,0.0322,0.0,0.09699999999999999,0.64
4lESS6vuruP6a79KWRaQou,0.871,0.768,-5.401,0.122,0.28300000000000003,2.25e-05,0.162,0.765
3Ga6eKrUFf12ouh9Yw3v2D,0.775,0.679,-4.985,0.135,0.18,7.26e-05,0.068,0.619
4R55IUi2x7S5ek2SpebOiE,0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.8440000000000001
